[2026-02-25 16:10:12,665] INFO [Controller id=0 epoch=1] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
[2026-02-25 16:14:08,912] INFO [Broker id=0] Leader orders-1 with topic id Some(JYFMy0sJQMuQLEScZ__Q1A) starts at leader epoch 0 from offset 664 with partition epoch 0, high watermark 664, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,913] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,918] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 315 with partition epoch 0, high watermark 315, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,919] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,923] INFO [Broker id=0] Leader orders-8 with topic id Some(JYFMy0sJQMuQLEScZ__Q1A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,928] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,933] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,938] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,943] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,948] INFO [Broker id=0] Leader orders-0 with topic id Some(JYFMy0sJQMuQLEScZ__Q1A) starts at leader epoch 0 from offset 16401 with partition epoch 0, high watermark 16401, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
